geohash6,rmse(t+1),rmse(t+2),rmse(t+3),rmse(t+4),rmse(t+5),smape(t+1),smape(t+2),smape(t+3),smape(t+4),smape(t+5)
qp03wc,0.03290418462978267,0.0400055375427204,0.04484815064115373,0.049118729169218035,0.05178835156947637,17.801260157465897,19.352271846904866,20.294713801627083,21.173803233438836,21.403439822964337
qp03pn,0.011398462723482588,0.013501929210149763,0.015201227991654073,0.016305340837443057,0.01765238243731656,42.551250214142634,45.50655805685497,44.78265509494755,45.80995081108473,48.18485255867733
qp09sw,0.02326925312545063,0.025491054059699095,0.025947822179268255,0.025847953534698185,0.026290568928077365,40.761660218470865,42.230341715298,43.140257045462384,42.65773540301572,43.02161695412226
qp0991,0.02014967552135211,0.02104094765087589,0.021702236714408813,0.022302382331272994,0.02261761251581562,48.85896262147249,47.872782619824434,50.304546754165095,50.945352053275954,49.29713606829999
qp090q,0.009337290625339072,0.01030454783801723,0.010897585904207337,0.011410789380394944,0.011926963863826176,48.90979273215537,49.10212444279822,51.63247451482233,52.18138629948021,54.601167068469074
qp03tu,0.008667320220771506,0.009697508264283053,0.010039508422418346,0.010274118776880262,0.010515726870507365,57.03522635640897,60.11870281182768,57.27381191787434,56.807387555619236,57.44781475465814
qp096d,0.009702718116856338,0.010580827000534507,0.010727961361139945,0.010868663728279947,0.010824809688598535,70.75139263791299,66.63721346911326,69.4921364761083,71.40143536955485,68.82549625705795
qp03nr,0.01925564994275331,0.022425748817461674,0.024604120279370024,0.025825883591985954,0.027098996912099438,40.111300427451596,41.67879585743722,41.63450091067477,42.58362346947177,43.20619502442478
qp093r,0.018352251271894576,0.01952780797990544,0.02028169095856704,0.02088963138485227,0.021188180115389584,50.42902377397738,48.13965704081477,49.913974064371736,50.465032485357625,50.00862761097762
qp03r2,0.035542124418032735,0.0432368219311645,0.04833103603141701,0.052550110491758006,0.0563077760604272,11.495107258302964,13.372469593422595,14.460768176351808,15.377883905741886,16.34987108446032
qp09kb,0.00847490137402845,0.008874628595000277,0.009096571932152122,0.009340033524565682,0.009477247239947107,73.56405749609509,70.80544194878068,72.30498487615785,75.43329842088335,74.89823901192804
qp03rp,0.01690605722580149,0.019329311271018303,0.020688177061202098,0.02195824360025342,0.02302921423997121,37.065358455024445,38.19265759422878,38.85300247014974,40.366424926514505,40.93246959940528
qp03w9,0.032040147042103846,0.03957376580684252,0.04267591410839632,0.047084173005716684,0.051806325529506175,6.558083804554984,7.9099629100805,8.5265421395355,9.258574763980466,10.069359015555614
qp096m,0.02462639624087687,0.028180552901394453,0.03035372513643413,0.03150209952853768,0.03247588495441664,47.736881767190546,51.671199297847984,52.262665599910775,53.747328999166186,54.42967524338012
qp091u,0.007122502044243783,0.0074533524065479,0.007509204149310226,0.007656852000629724,0.00762910887783764,76.86141302147858,72.17361848533467,72.45818733091541,74.41633788711093,73.66174183895754
qp03md,0.0069663280398988125,0.007535935975670489,0.007685556576981592,0.007783024622987787,0.007862081636850236,79.56681873489407,80.87305550785186,79.1931887310954,77.78014538255387,77.0784893246508
qp099z,0.009327564973569936,0.00965468947246532,0.009821180766918505,0.009929240186649353,0.009804627670943611,71.6582325984129,67.84517570074101,68.57940690628577,69.66367892319685,68.315932320773
qp0990,0.010085184095094218,0.01059296499763353,0.01087400090961259,0.011001647952746123,0.010963328583650286,62.669590546097965,60.50650793774717,63.23655632997448,63.243932908541716,63.18072010069584
qp03mf,0.010236063808423797,0.010981275712607196,0.011403867256355905,0.01163516145583423,0.01180099583644386,54.655439208575864,55.166725656169945,56.125973180312265,55.98027333751535,56.134625471094786
qp09fu,0.02901289426141002,0.03195508371234904,0.03313102737353861,0.03386000273890965,0.0345637840857583,24.57494099510732,26.754137147497353,27.452721957584593,28.02649944710257,28.466206559591985
qp091w,0.009815124114163933,0.010318103507219047,0.010317329839812246,0.010432093346176695,0.010489288477052983,61.130318257591355,58.41786438731916,59.42137385208191,59.93010969558515,59.76497093653192
qp0dhw,0.020862832653466883,0.022045177437135393,0.02242380975919675,0.02229659908441324,0.022395504426723528,49.38141493253356,48.070013398424486,49.380469609069976,49.37186822384438,50.175616285325574
qp09fh,0.011276935675064072,0.012029016164307734,0.012274587136724923,0.012596323721118977,0.012730902608076236,67.6115135963432,62.749410984093515,63.3940381575104,67.20838380062067,68.58664499475307
qp0961,0.0200265308385662,0.021562708793305827,0.022062311129691172,0.02246278116746481,0.022457496542756146,47.03964796874305,42.76466082497286,45.902465540947446,47.83390420329937,46.90279607189674
qp03zr,0.006404530726911107,0.006814594705124015,0.006956351314834887,0.00700200743709542,0.007140985002689613,80.29775168530671,80.70141125099023,81.95145052605048,81.13909125347996,83.43082891249877
