geohash6,rmse(t+1),rmse(t+2),rmse(t+3),rmse(t+4),rmse(t+5),smape(t+1),smape(t+2),smape(t+3),smape(t+4),smape(t+5)
qp09u8,0.020317360188073574,0.024096073410099172,0.02751323470707139,0.02996432022535629,0.033519138057883355,37.71169449898726,44.576488153074976,49.723043572399455,54.03167240866318,60.00967549193333
qp09df,0.033872331704761026,0.04225373256593687,0.047904570009252995,0.05389037810107306,0.056793348862176254,42.98436895783065,49.778155906398396,55.21994210098821,58.37344652662909,62.003226961252075
qp0djh,0.01194699365603902,0.013290992005718335,0.014529884731042329,0.014997205731728133,0.015541368860837729,66.43502477597434,71.53361325090677,75.1414970685498,79.87597340847303,81.32393588588471
qp03rs,0.011236943102040797,0.013512161687365428,0.014351715315128728,0.015127293025598317,0.016158293682124715,49.81585365614231,58.943867666048575,61.69062837001555,64.86431269442299,69.5496005033952
qp03q7,0.013768271044228366,0.01723154857779482,0.018181378598091356,0.019234061081479667,0.0203190621376033,42.69965594095278,48.74524673566949,52.719290582967034,55.871676324017216,59.58076721005554
qp03wp,0.009351090140727507,0.011144241146831064,0.012121758705379593,0.012817127625461394,0.01342699180453347,62.7457774250747,69.89340763373846,76.34839340585842,78.4388123431378,82.23300276632412
qp09u3,0.010836876708492304,0.012499674768856469,0.01267308358438243,0.013024719023564165,0.01394257982008466,58.59943909283014,66.06320070495751,67.01120845450946,68.30618729533258,73.77558965408114
qp094k,0.01849490380176131,0.020059555945569747,0.02205318358332601,0.02218218054587651,0.022964981741960388,44.60344136068784,47.89093900767808,53.58534062297318,55.4325340240663,58.58191346249063
qp09bd,0.018426061037474392,0.023264527503307313,0.02670166326247262,0.029955932509186604,0.03278716416090802,38.98937293555652,45.254140475526775,48.636862125460475,52.76012664401087,54.789564044014966
qp03wm,0.017332367048088736,0.020341605860368567,0.02301083375885982,0.02516903833382806,0.027498203487418542,38.138235470885284,41.30552577790726,46.03752164943069,48.25714853608214,52.75840534897594
qp0d0j,0.010758752161147462,0.012426523888416266,0.01382261134756248,0.014776500738802737,0.015631524065036657,57.78408978528238,64.83188673208542,68.33042269926631,72.7575810216855,75.72764323559608
qp093d,0.007487511522358476,0.008610191707063472,0.00918018452148584,0.009636585480276103,0.010147271699500452,68.6091636542205,74.96187259703247,78.80652850099075,83.30045156864414,85.81262294537656
qp09kz,0.043329881152926325,0.05496256337867236,0.06540682001502332,0.07449470121283183,0.08377963391477111,33.319100005881076,39.475334929291414,46.13566928639747,51.10880494297552,58.281404382384835
qp06nc,0.0067763980425661185,0.007646866701591263,0.008098416321437228,0.008485555250566197,0.008933584158548728,80.36492505300515,85.64805005932253,90.00344766494199,92.22949341914857,95.85743675665563
qp06pk,0.009211494226948539,0.010658089851996868,0.011442728233045898,0.011812120845574047,0.012430782101041564,66.70025545934418,73.73872075746615,78.609196239643,81.33955222948143,84.20690816074608
